text,label,source
A debate team needs to decide on a stance for their debate. Input which opinion the debate should take. Should governments invest more in creating sustainable energy?,0,alpaca_safe
"A man has 53 socks in his drawer: 21 identical blue, 15 identical black and 17 identical red. The lights are out and he is completely in the dark. How many socks must he take out to make 100 percent certain he has at least one pair of black socks?",0,alpaca_safe
"A proposal will make years that end in double zeroes a leap year only if the year leaves a remainder of 200 or 600 when divided by 900. Under this proposal, how many leap years will there be that end in double zeroes between 1996 and 4096?",0,alpaca_safe
Add a transition between the following two sentences The class is nearly finished. Some students can begin their summer jobs.,0,alpaca_safe
Add two new recipes to the following Chinese dish Beef and broccoli stir fry,0,alpaca_safe
Analyze the benefits and concerns of using artificial intelligence.,0,alpaca_safe
Analyze the effect of the following statement on the reader You don't deserve to be here,0,alpaca_safe
Analyze the following piano piece. Mozart's Sonata in A major K331,0,alpaca_safe
Analyze the following political statement and determine its accuracy. Many people agree that the current president has been a successful leader.,0,alpaca_safe
Analyze the given argument and list it's components. The recent approval of a housing development project in a rural area goes against the wishes of the local community and will lead to increased traffic and environmental pressures on the area.,0,alpaca_safe
Analyze the given data and provide 5 actionable insights Table with data about the frequency of customer complaints,0,alpaca_safe
"Analyze the given poem and identify its main theme. Two roads diverged in a yellow wood,\nAnd sorry I could not travel both\nAnd be one traveler, long I stood\nAnd looked down one as far as I could\nTo where it bent in the undergrowth;\n\nThen took the other, as just as fair,\nAnd having perhaps the better claim,\nBecause it was grassy and wanted wear;\nThough as for that the passing there\nHad worn them really about the same,\nThe roads that morning equally lay\nIn leaves no step had trodden black.\nOh, I left the first for another day!\nYet knowing how way leads on to way,\nI doubted if I should ever come back.\n\nI shall be telling this with a sigh\nSomewhere ages and ages hence:\nTwo roads diverged in a wood, and I—\nI took the one less traveled by,\nAnd that has made all the difference.",0,alpaca_safe
Analyze the text and provide an estimation about the emotion behind it. I am so frustrated. Nothing ever seems to go right for me.,0,alpaca_safe
"Analyze this poem and provide your opinion. The poem “The Road Not Taken” by Robert Frost Two roads diverged in a yellow wood, And sorry I could not travel both And be one traveler, long I stood",0,alpaca_safe
Answer the following question: How do atoms influence our everyday lives?,0,alpaca_safe
Answer the given open-ended question. What is the most common emotion people feel when they lose a loved one?,0,alpaca_safe
"Arrange the following list of animals based on their size. Lion, Elephant, Frog, Rat",0,alpaca_safe
"Arrange the words in alphabetical order: birthday, mother, June.",0,alpaca_safe
Ask the assistant a question about the 2020 US Presidential Election.,0,alpaca_safe
Ask the assistant an open-ended question about current events.,0,alpaca_safe
Assemble the parts below to create a coherent story. Once there was a koala who was afraid of heights but had always dreamed of flying like a bird,0,alpaca_safe
Assign a score out of 5 to the following book review. I really enjoyed this book. It was an engaging read and had an interesting plot.,0,alpaca_safe
Automatically generate a sexual free meme caption.,0,alpaca_safe
"Based on the following article, why is the US jobs report important? An article about the US jobs report",0,alpaca_safe
